Date,PEP,KO
2000-12-26,3.278724640309972,2.7230983667092876
2000-12-27,3.278724640309972,2.732429401159843
2000-12-28,3.2761637308187472,2.740651732431199
2000-12-29,3.2926929276535652,2.7386021707282664
2001-01-02,3.2889029818540947,2.7365487086533253
2001-01-03,3.228910604265252,2.7105197089670785
2001-01-04,3.182134767978938,2.6816248657438
2001-01-05,3.2030415112048987,2.683794010663399
2001-01-08,3.219457092056918,2.6999149734322363
2001-01-09,3.2342725086307578,2.7126265691084064
2001-01-10,3.218099461564468,2.7084073837038347
2001-01-11,3.219457092056918,2.6783621695483935
2001-01-12,3.211283446417072,2.665204012103272
2001-01-16,3.216740214776634,2.671804732808126
2001-01-17,3.2044198027384474,2.6881181709025856
2001-01-18,3.1961208670453956,2.6739952605247175
2001-01-19,3.169377520469766,2.6507511721230843
2001-01-22,3.169377520469766,2.648508803510685
2001-01-23,3.155009522402481,2.6696094622136655
2001-01-24,3.144827383694879,2.6902736152426407
2001-01-25,3.1679500391386437,2.6999149734322363
2001-01-26,3.175067235322253,2.6881181709025856
2001-01-29,3.1656612910362854,2.673907702537641
2001-01-30,3.1853965630817958,2.6876437500311323
2001-01-31,3.175237402905054,2.6891964414208647
2001-02-01,3.1661195081742224,2.679494445217238
2001-02-02,3.195898712316915,2.684703527955666
2001-02-05,3.195453786135071,2.709675339606475
2001-02-06,3.201882195722587,2.713384472005959
2001-02-07,3.2393929663886825,2.7230983667092876
2001-02-08,3.236409051269427,2.733213678368618
2001-02-09,3.2224382736853827,2.725428444298586
2001-02-12,3.238541637289989,2.7366718524788887
2001-02-13,3.242792394465774,2.722431148367193
2001-02-14,3.233202635877228,2.714730073356558
2001-02-15,3.236409051269427,2.695555435280333
2001-02-16,3.24639141889236,2.7123741447285172
2001-02-20,3.271022369940959,2.6972667380022397
2001-02-21,3.244911053514803,2.6346310824609915
2001-02-22,3.229985529049857,2.598856772994412
2001-02-23,3.2263264090191783,2.5799971569314515
2001-02-26,3.2241685714950434,2.588994965627786
2001-02-27,3.219403029621349,2.5799971569314515
2001-02-28,3.2198370479259255,2.599610940756734
2001-03-01,3.2139604285054926,2.5933686112863836
2001-03-02,3.1927820216416904,2.590518379387619
2001-03-05,3.209805039505035,2.5447686398054756
2001-03-06,3.2139604285054926,2.536768629305027
2001-03-07,3.221594903142371,2.549339903582486
2001-03-08,3.240537024647906,2.5683919113952927
2001-03-09,3.2298186928993586,2.5703353379282
2001-03-12,3.2113297243384453,2.542774610440999
2001-03-13,3.1958428146003532,2.5190577310026283
2001-03-14,3.18282645098942,2.496655059870282
2001-03-15,3.1773905683698604,2.496235386335875
2001-03-16,3.1534868445364577,2.5170046348849318
2001-03-19,3.14624991994448,2.511853299642038
2001-03-20,3.1210999306851717,2.491607710323133
2001-03-21,3.1304264248948113,2.444555709087314
2001-03-22,3.144373605275095,2.4548886536486276
2001-03-23,3.173293937168893,2.4500654026337507
2001-03-26,3.172152999362136,2.4367906967637096
2001-03-27,3.1776174291390324,2.4741679641300522
2001-03-28,3.1555785577955513,2.4599068293982236
2001-03-29,3.1595164145258443,2.4282914863764526
2001-03-30,3.1755720743162352,2.4425640349262308
2001-04-02,3.177844476922595,2.457727592555601
2001-04-03,3.1555785577955513,2.431430876036717
2001-04-04,3.1744338140031925,2.444555709087314
2001-04-05,3.1789788638237386,2.445659500433235
2001-04-06,3.130188517035719,2.4390153241470514
2001-04-09,3.1182126132617065,2.414267062534383
2001-04-10,3.1337538638671414,2.408556412597448
2001-04-11,3.115558407024586,2.419492060064297
2001-04-12,3.1280433751312677,2.429413618689946
2001-04-16,3.1349393552831057,2.4480854247405412
2001-04-17,3.1365968845583634,2.454450339371589
2001-04-18,3.131616447935235,2.4771668743124566
2001-04-19,3.1413171167614244,2.4930826023470316
2001-04-20,3.112412847610436,2.482500179390619
2001-04-23,3.1365968845583634,2.4920290144257615
2001-04-24,3.157201524753475,2.4907637791651798
2001-04-25,3.17829825898927,2.5077117812047964
2001-04-26,3.196956978330369,2.480370157671471
2001-04-27,3.1789788638237386,2.482500179390619
2001-04-30,3.172380891461529,2.465115919508148
2001-05-01,3.191373155474416,2.4958153793804088
2001-05-02,3.1837292231159657,2.4945553222676726
2001-05-03,3.1821486189924504,2.4771668743124566
2001-05-04,3.1920450791003128,2.478877022009892
2001-05-07,3.197847089152545,2.4786629635840782
2001-05-08,3.198959568069559,2.4733090991620332
2001-05-09,3.211110154245962,2.4557629879821885
2001-05-10,3.2313261493847225,2.4524796077385456
2001-05-11,3.224849008185779,2.4454392860407395
2001-05-14,3.224416553211229,2.461211444557965
2001-05-15,3.199181666420508,2.4588180901181462
2001-05-16,3.204943000123205,2.5083340452540734
2001-05-17,3.1976250058937876,2.506258790921364
2001-05-18,3.198737264688044,2.505635155929471
2001-05-21,3.1976250058937876,2.5095771027735303
2001-05-22,3.1762543772707894,2.499378574834124
2001-05-23,3.1936110691124338,2.5180316329607026
2001-05-24,3.1985146004235703,2.52600761235106
2001-05-25,3.1949505264595706,2.507089207431222
2001-05-29,3.1974019379036567,2.510612140630165
2001-05-30,3.212207522915461,2.5010506399943613
2001-05-31,3.1938338108054007,2.4909751052068527
2001-06-01,3.1949505264595706,2.4995874618372365
2001-06-04,3.1974019379036567,2.4945553222676726
2001-06-05,3.2124272361548583,2.4956059387488683
2001-06-06,3.193437817352544,2.4771668743124566
2001-06-07,3.1869143077903623,2.463599734001353
2001-06-08,3.191193319142247,2.4609937334447762
2001-06-11,3.1803483589123713,2.4594712802697676
